Epoch,Time,Loss,Accuracy
1,34.91407108306885,1.1190980201675778,65.0297619047619
2,34.145232915878296,0.5929216275612513,77.91666666666667
3,34.063162088394165,0.5252608937876565,80.625
4,34.30302667617798,0.49677225379716783,81.96428571428571
5,34.66424345970154,0.45654714703559873,82.94642857142857
6,34.66402840614319,0.4063746528966086,84.9702380952381
7,34.767985343933105,0.4303730308299973,84.4047619047619
8,34.859721183776855,0.35886500825484596,87.02380952380952
9,34.859549045562744,0.3261072085726829,87.88690476190476
10,34.57205104827881,0.3304314456525303,88.21428571428571
11,34.68273377418518,0.3139717785020669,88.57142857142857
12,34.56794857978821,0.3050176189768882,88.83928571428571
13,34.75262522697449,0.2766130098984355,89.94047619047619
14,34.68107795715332,0.2579150175054868,90.625
