Epoch,Time,Loss,Accuracy
1,34.29214024543762,1.4743651847044628,31.875
2,33.26858854293823,1.2206620443434941,44.82142857142857
3,34.30723524093628,1.109525079386575,51.99404761904762
4,34.30990815162659,1.0555756881123497,54.791666666666664
5,34.34017038345337,1.0175499586831955,57.61904761904762
6,34.30001878738403,0.9458355103220258,61.339285714285715
7,34.26824474334717,0.9109603938602265,62.767857142857146
8,34.312039375305176,0.8917993477412632,63.392857142857146
9,34.33228659629822,0.8542299367132641,65.71428571428571
10,34.284427881240845,0.8317069397086189,66.93452380952381
11,34.308056592941284,0.7985335917699905,68.0952380952381
12,33.25909900665283,0.7738629806609381,68.83928571428571
13,34.36440300941467,0.7823708247570764,68.92857142857143
14,34.323264837265015,0.7364954857599167,70.23809523809524
15,34.32289791107178,0.7297906952244895,70.95238095238095
16,34.28505778312683,0.7360267559687297,71.48809523809524
17,34.328590393066406,0.6868439373515901,72.64880952380952
18,34.33781337738037,0.6734375019868215,73.21428571428571
19,34.29821705818176,0.6579370521363758,73.57142857142857
20,34.3332896232605,0.6788161493483044,73.42261904761905
21,34.33859968185425,0.6338840609505063,75.14880952380952
22,33.24258375167847,0.6237569939522516,75.5952380952381
23,34.3223090171814,0.6143825286910647,75.50595238095238
24,34.323487520217896,0.620541247583571,75.83333333333333
25,34.313650369644165,0.6132452277910142,76.60714285714286
