Epoch,Time,Loss,Accuracy
1,34.366419315338135,2.4415552076839266,26.220238095238095
2,34.41539812088013,1.4137068873360044,27.202380952380953
3,34.39091444015503,1.3600878011612665,32.20238095238095
4,34.34359288215637,1.3379329488390967,36.01190476190476
5,34.348522663116455,1.2807577360244025,39.404761904761905
6,34.3709716796875,1.2858883732841129,40.625
7,33.3815336227417,1.2714894306092035,42.589285714285715
8,34.38832235336304,1.302217960357666,39.67261904761905
9,34.43888831138611,1.2803351697467622,42.05357142857143
10,34.39840650558472,1.2649227908679417,43.18452380952381
11,34.39354372024536,1.2637994805971782,43.154761904761905
12,34.29470634460449,1.206302323227837,45.92261904761905
13,34.48721766471863,1.1636997813270205,49.107142857142854
14,34.37524175643921,1.1194476201420738,51.964285714285715
15,34.37927794456482,1.09479440393902,52.38095238095238
16,34.348976612091064,1.1221365270160493,51.607142857142854
17,33.37698674201965,1.087932358469282,51.99404761904762
18,34.39360475540161,1.0461254715919495,53.98809523809524
19,34.38231301307678,1.0630770144008455,55.148809523809526
20,34.3777961730957,1.0172170156524294,57.11309523809524
21,34.39009737968445,1.0172468185424806,56.93452380952381
22,34.3827850818634,1.0116606979143052,56.81547619047619
23,34.41871929168701,0.9846237023671468,58.214285714285715
24,34.39322638511658,0.9694690482957022,59.017857142857146
25,34.424171686172485,0.9712422183581761,59.04761904761905
